"countyfips","gps_workplaces"
26161,-0.357
26163,-0.221
26165,0.0657
27001,NA
27003,-0.15
27005,-0.0786
27007,-0.0686
27009,-0.133
27013,-0.197
27015,-0.163
27017,-0.127
27019,-0.207
27021,-0.0371
27023,NA
27025,-0.15
27027,-0.169
27029,NA
27033,NA
27035,-0.07
27037,-0.229
27039,-0.169
27041,-0.15
27043,NA
27045,NA
27047,-0.0886
27049,-0.114
27051,NA
27053,-0.273
27055,NA
27057,-0.0643
27059,-0.154
27061,-0.177
27063,NA
27065,-0.217
27067,-0.0986
27071,NA
27073,NA
27075,NA
27079,-0.0157
27081,NA
27083,-0.161
27085,-0.0743
27087,NA
27089,NA
27091,-0.0886
27093,-0.166
27095,-0.07
27097,-0.0743
27099,-0.149
27101,NA
27103,-0.217
27105,-0.174
27107,NA
27109,-0.0729
27111,-0.0843
27113,NA
27115,-0.0886
27117,NA
27119,-0.2
27121,NA
27123,-0.239
27127,NA
27129,-0.217
27131,-0.177
27133,NA
27135,NA
27137,-0.221
27139,-0.216
27141,-0.153
27143,NA
27145,-0.139
27147,-0.144
27149,NA
27151,NA
27153,-0.0871
27157,-0.06
27159,NA
27161,-0.104
27163,-0.191
27165,NA
27167,NA
27169,-0.0814
27171,-0.119
27173,NA
28001,-0.253
28003,-0.163
28005,NA
28007,NA
28009,NA
28011,-0.184
28013,NA
28015,NA
28017,NA
28021,NA
28023,NA
28025,-0.107
28027,-0.0357
28029,-0.0843
28031,NA
28033,-0.2
28035,-0.191
28039,0.0143
28041,NA
28043,-0.137
28045,-0.199
28047,-0.21
28049,-0.211
28051,NA
28053,NA
28057,-0.206
28059,-0.02
28061,NA
28065,NA
28067,-0.194
28069,NA
28071,-0.153
28073,-0.134
28075,-0.107
28077,NA
28079,NA
28081,-0.113
28083,-0.251
28085,-0.0729
28087,-0.21
28089,-0.277
28091,-0.174
28093,-0.18
28095,-0.0743
28097,NA
28099,-0.0657
28101,NA
28103,NA
28105,-0.187
28107,-0.179
28109,-0.111
28111,NA
28113,0.01
28115,-0.196
28117,-0.12
28119,NA
28121,-0.189
28123,-0.269
28127,-0.277
28129,NA
28131,-0.221
28133,-0.109
28135,NA
28137,-0.163
28139,NA
28141,NA
28143,NA
28145,-0.177
28147,NA
28149,-0.223
28151,-0.193
28153,NA
28155,NA
28159,NA
28161,NA
28163,-0.117
29001,-0.0443
29003,NA
29007,-0.173
29009,-0.111
29011,NA
29013,-0.177
29015,0.0229
29017,NA
29019,-0.161
29021,-0.179
29023,-0.0843
29025,NA
29027,-0.0686
29029,0.0771
29031,-0.147
29033,NA
29037,-0.0629
29039,-0.0129
29041,NA
29043,-0.189
29045,NA
29047,-0.247
29049,-0.09
29051,-0.08
29053,-0.0757
29055,-0.0257
29057,NA
29059,-0.0157
29061,NA
29063,NA
29065,NA
29067,NA
29069,-0.0886
29071,-0.0386
29073,NA
29077,-0.151
29079,NA
29081,-0.183
29083,-0.0857
29085,NA
29089,NA
29091,-0.03
29093,NA
29095,-0.189
29097,-0.04
29099,-0.0843
29101,-0.107
29105,-0.0329
29107,-0.136
29109,-0.11
29111,NA
29113,-0.0586
29115,NA
29117,NA
29119,-0.246
29121,0.005
29123,NA
29125,NA
29127,-0.173
29131,-0.153
29133,-0.0386
29135,NA
29137,NA
29139,NA
29141,-0.0971
29143,-0.0943
29145,-0.0557
29147,-0.0457
29149,NA
29151,NA
29153,NA
29155,-0.13
29157,-0.217
29159,-0.0143
29161,-0.167
29163,-0.07
29165,-0.169
29167,0.0286
29169,-0.17
29173,NA
29175,-0.13
29177,-0.151
