"year","age","eqwlth","conlegis","degree","racehisp"
2010,86,6,"Hardly any","Bachelor's Degree","White"
2010,34,1,"Hardly any","HS Diploma","Black"
2010,37,5,"Only some","HS Diploma","White"
2010,29,5,"Only some","Bachelor's Degree","White"
2010,37,1,"Only some","HS Diploma","Black"
2010,69,2,"Hardly any","Bachelor's Degree","White"
2010,56,5,"Hardly any","HS Diploma","White"
2010,37,4,"Only some","HS Diploma","Black"
2010,35,7,"A great deal","Less than HS","Hispanic"
2010,26,5,"A great deal","HS Diploma","White"
2010,52,3,"Only some","HS Diploma","Black"
2010,54,7,"Hardly any","Less than HS","White"
2010,21,1,"Only some","HS Diploma","White"
2010,50,5,"Only some","HS Diploma","Hispanic"
2010,48,1,"Only some","HS Diploma","Black"
2010,56,2,"Hardly any","HS Diploma","Black"
2010,59,1,"Hardly any","HS Diploma","Black"
2010,74,2,"Hardly any","Bachelor's Degree","White"
2010,27,4,"Hardly any","HS Diploma","Other"
2010,33,7,"Hardly any","Bachelor's Degree","White"
2010,51,1,"Only some","Bachelor's Degree","White"
2010,52,1,"Only some","Less than HS","Black"
2010,57,1,"Only some","Bachelor's Degree","Black"
2010,59,7,"Only some","Less than HS","Hispanic"
2010,77,1,"Hardly any","HS Diploma","Black"
2010,81,5,"A great deal","Less than HS","White"
2010,33,5,"Only some","Less than HS","Hispanic"
2010,43,1,"A great deal","Bachelor's Degree","Other"
2010,44,4,"Hardly any","Bachelor's Degree","White"
2010,61,6,"Hardly any","Grad/Prof Degree","White"
2010,46,5,"Hardly any","Grad/Prof Degree","White"
2010,42,3,"Only some","Grad/Prof Degree","Other"
2010,46,4,"Only some","Bachelor's Degree","White"
2010,71,1,"Only some","HS Diploma","White"
2010,47,6,"Only some","Grad/Prof Degree","White"
2010,46,1,"Hardly any","HS Diploma","White"
2010,53,4,"A great deal","HS Diploma","Black"
2010,31,3,"A great deal","Grad/Prof Degree","Other"
2010,23,6,"Only some","HS Diploma","White"
2010,67,4,NA,"Less than HS","Hispanic"
2010,30,1,"Only some","HS Diploma","Hispanic"
2010,62,2,"Only some","Grad/Prof Degree","Other"
2010,45,7,"Hardly any","HS Diploma","Black"
2010,20,3,"Only some","HS Diploma","Hispanic"
2010,35,3,"Hardly any","HS Diploma","Hispanic"
2010,20,3,"A great deal","HS Diploma","White"
2010,33,1,"Hardly any","Less than HS","Hispanic"
2010,19,3,"Only some","HS Diploma","Hispanic"
2010,21,4,"Only some","HS Diploma","Black"
2010,23,5,"A great deal","Less than HS","Black"
2010,23,2,"Hardly any","HS Diploma","Black"
2010,63,4,"A great deal","HS Diploma","Black"
2010,86,5,"Hardly any","HS Diploma","White"
2010,25,4,"Only some","HS Diploma","Hispanic"
2010,61,7,"Hardly any","Bachelor's Degree","White"
2010,63,7,"Hardly any","Bachelor's Degree","White"
2010,39,5,"Only some","Bachelor's Degree","White"
2010,61,1,"Only some","HS Diploma","Hispanic"
2010,47,3,"Only some","Grad/Prof Degree","White"
2010,50,1,"Hardly any","HS Diploma","Black"
2010,50,5,"Only some","Some College","Hispanic"
2010,50,5,"A great deal","Grad/Prof Degree","White"
2010,40,1,"A great deal","Less than HS","Hispanic"
2010,68,7,"Hardly any","Bachelor's Degree","White"
2010,59,5,"Only some","HS Diploma","White"
