"countyfips","vaccine_rate","fullvaccine_rate"
20045,68.6,53.7
20047,45.7,41.9
20049,32.5,29.4
20051,49.1,43.5
20053,52.3,49
20055,49.9,36
20057,42.1,36
20059,49.4,44.1
20061,76.4,56.2
20063,49,43.3
20065,68.5,66.1
20067,44.6,40.3
20069,43.4,38.2
20071,47.8,45.5
20073,47.3,44.2
20075,36.3,33
20077,45.1,41.2
20079,44.4,40
20081,36.8,32.4
20083,44.4,40.4
20085,60.5,56.1
20087,52.5,47.6
20089,43.4,40.9
20091,74.7,64
20093,51.1,44.8
20095,45.5,41.9
20097,48.9,44.3
20099,47.9,43.7
20101,41.2,37.4
20103,58.9,52.1
20105,42.3,39.4
20107,34.8,31.3
20109,45.2,41.6
20111,54.3,49.8
20113,51.7,47.1
20115,47.2,42.1
20117,59.9,56
20119,43.6,34.2
20121,46.2,41.7
20123,51.6,48.5
20125,44.9,39.3
20127,54,49.2
20129,38.5,34.2
20131,50.3,47.7
20133,27.5,22.9
20135,51.3,45.2
20137,48.2,47
20139,49.1,44.4
20141,41.1,37.5
20143,39.3,35.9
20145,50.5,47.1
20147,42.3,39
20149,38,34.2
20151,48.2,42.9
20153,41.2,37.5
20155,48.7,44.1
20157,48.4,45.7
20159,42.3,38.3
20161,36.2,33.5
20163,46.2,42.9
20165,49.8,45.2
20167,42,37.8
20169,47.5,43.1
20171,44.9,40.9
20173,53.2,43.5
20175,51.6,38.2
20177,58.9,53.3
20179,35,31.7
20181,41.8,38.4
20183,43.3,40.4
20185,43.7,39.2
20187,48.1,42.9
20189,35,29.8
20191,41.2,37.2
20193,40,36.7
20195,38,35.6
20197,44.7,41.6
20199,34.6,33.4
20201,49.7,46.2
20203,47.5,44.1
20205,41.3,38
20207,42.3,37.4
20209,53.5,46.8
21001,38.9,34.3
21003,41,36.9
21005,64.4,55.2
21007,36.1,31.9
21009,45.6,40.1
21011,54.4,47.8
21013,48,40.9
21015,72.5,63.3
21017,58.5,51.1
21019,48.5,39.1
21021,62.1,54.1
21023,47.2,43
21025,50.9,43.4
21027,42.8,37.9
21029,49.7,43.2
21031,44.9,40.9
21033,50.7,44.7
21035,48.1,42.2
21037,74.7,65.8
