"county_fips","name","hhincome"
48195,"Hansford County, TX",40505
19049,"Dallas County, IA",40497
19021,"Buena Vista County, IA",40471
19135,"Monroe County, IA",40463
46071,"Jackson County, SD",40453
19197,"Wright County, IA",40431
17043,"DuPage County, IL",40397
20027,"Clay County, KS",40391
27005,"Becker County, MN",40385
34023,"Middlesex County, NJ",40363
19015,"Boone County, IA",40350
55017,"Chippewa County, WI",40333
30027,"Fergus County, MT",40326
55061,"Kewaunee County, WI",40320
20047,"Edwards County, KS",40279
53023,"Garfield County, WA",40234
48149,"Fayette County, TX",40233
31025,"Cass County, NE",40228
8035,"Douglas County, CO",40213
48011,"Armstrong County, TX",40210
54073,"Pleasants County, WV",40208
48329,"Midland County, TX",40190
48337,"Montague County, TX",40181
42031,"Clarion County, PA",40180
31053,"Dodge County, NE",40130
16035,"Clearwater County, ID",40116
48043,"Brewster County, TX",40110
48023,"Baylor County, TX",40097
20127,"Morris County, KS",40093
56045,"Weston County, WY",40091
36085,"Richmond County, NY",40087
55141,"Wood County, WI",40034
22023,"Cameron Parish, LA",40024
36041,"Hamilton County, NY",40007
31037,"Colfax County, NE",39996
46047,"Fall River County, SD",39982
20085,"Jackson County, KS",39950
53075,"Whitman County, WA",39939
31119,"Madison County, NE",39936
25017,"Middlesex County, MA",39935
27037,"Dakota County, MN",39934
30081,"Ravalli County, MT",39922
8033,"Dolores County, CO",39915
27109,"Olmsted County, MN",39901
55131,"Washington County, WI",39901
49009,"Daggett County, UT",39889
20109,"Logan County, KS",39886
48009,"Archer County, TX",39877
26141,"Presque Isle County, MI",39854
56025,"Natrona County, WY",39826
38071,"Ramsey County, ND",39825
20053,"Ellsworth County, KS",39822
16021,"Boundary County, ID",39821
41063,"Wallowa County, OR",39791
49023,"Juab County, UT",39779
6041,"Marin County, CA",39776
40009,"Beckham County, OK",39771
24031,"Montgomery County, MD",39764
16057,"Latah County, ID",39736
17027,"Clinton County, IL",39735
20113,"McPherson County, KS",39732
27087,"Mahnomen County, MN",39717
55073,"Marathon County, WI",39705
27061,"Itasca County, MN",39703
55097,"Portage County, WI",39696
55125,"Vilas County, WI",39691
49011,"Davis County, UT",39690
49039,"Sanpete County, UT",39679
19125,"Marion County, IA",39629
20143,"Ottawa County, KS",39615
20105,"Lincoln County, KS",39592
56013,"Fremont County, WY",39587
20073,"Greenwood County, KS",39565
17131,"Mercer County, IL",39559
19181,"Warren County, IA",39557
19103,"Johnson County, IA",39533
19145,"Page County, IA",39533
48105,"Crockett County, TX",39512
55005,"Barron County, WI",39507
42127,"Wayne County, PA",39439
55103,"Richland County, WI",39430
48505,"Zapata County, TX",39429
27147,"Steele County, MN",39428
42119,"Union County, PA",39397
27131,"Rice County, MN",39388
6081,"San Mateo County, CA",39386
56001,"Albany County, WY",39379
49003,"Box Elder County, UT",39366
19183,"Washington County, IA",39366
19079,"Hamilton County, IA",39354
42059,"Greene County, PA",39352
36081,"Queens County, NY",39344
27065,"Kanabec County, MN",39334
6085,"Santa Clara County, CA",39313
48131,"Duval County, TX",39311
54013,"Calhoun County, WV",39293
20115,"Marion County, KS",39291
55045,"Green County, WI",39286
55107,"Rusk County, WI",39268
17149,"Pike County, IL",39256
31001,"Adams County, NE",39253
17041,"Douglas County, IL",39221
48403,"Sabine County, TX",39214
8014,"Broomfield County, CO",39207
27059,"Isanti County, MN",39192
55033,"Dunn County, WI",39191
17139,"Moultrie County, IL",39176
30031,"Gallatin County, MT",39171
16043,"Fremont County, ID",39126
21201,"Robertson County, KY",39123
18073,"Jasper County, IN",39120
8111,"San Juan County, CO",39115
48259,"Kendall County, TX",39112
17015,"Carroll County, IL",39112
42117,"Tioga County, PA",39100
21091,"Hancock County, KY",39091
19175,"Union County, IA",39082
20185,"Stafford County, KS",39061
46093,"Meade County, SD",39058
19053,"Decatur County, IA",39042
19101,"Jefferson County, IA",39015
35028,"Los Alamos County, NM",39002
17185,"Wabash County, IL",38992
48297,"Live Oak County, TX",38988
55123,"Vernon County, WI",38985
20067,"Grant County, KS",38983
8075,"Logan County, CO",38976
55135,"Waupaca County, WI",38951
42131,"Wyoming County, PA",38937
55133,"Waukesha County, WI",38934
49025,"Kane County, UT",38911
36049,"Lewis County, NY",38893
49037,"San Juan County, UT",38885
20013,"Brown County, KS",38850
20033,"Comanche County, KS",38848
29111,"Lewis County, MO",38847
16059,"Lemhi County, ID",38845
51157,"Rappahannock County, VA",38840
34037,"Sussex County, NJ",38805
20101,"Lane County, KS",38803
27141,"Sherburne County, MN",38789
29197,"Schuyler County, MO",38777
17071,"Henderson County, IL",38771
30105,"Valley County, MT",38771
31111,"Lincoln County, NE",38750
17023,"Clark County, IL",38736
48237,"Jack County, TX",38732
41023,"Grant County, OR",38720
