"id","hrs1","class","region","racehisp"
1142,40,"Working","South","White"
1144,43,"Working","South","Black"
1145,32,"Middle","South","Hispanic"
1146,33,"Middle","South","White"
1147,56,"Working","South","Black"
1150,40,"Working","South","Black"
1151,42,"Middle","South","Black"
1152,20,"Working","South","Black"
1154,14,"Middle","South","Other"
1156,40,"Middle","South","Hispanic"
1157,60,"Working","South","White"
1158,40,"Working","South","Other"
1160,40,"Middle","South","Black"
1161,40,"Middle","South","White"
1163,24,"Middle","South","White"
1164,22,"Middle","South","White"
1165,32,"Middle","South","White"
1166,60,"Working","South","Black"
1171,40,"Working","South","Black"
1173,40,"Middle","South","White"
1178,36,"Middle","South","White"
1180,37,"Middle","South","Black"
1181,46,"Middle","South","White"
1182,50,"Working","South","Black"
1184,50,"Working","South","Black"
1185,64,"Working","South","Black"
1187,45,"Working","South","White"
1189,60,"Upper","South","White"
1190,60,"Middle","South","White"
1191,30,"Middle","South","White"
1194,60,"Middle","South","Other"
1196,70,"Working","South","White"
1198,40,"Middle","South","Black"
1199,46,"Working","South","Hispanic"
1200,40,"Middle","South","White"
1202,40,"Middle","South","White"
1203,42,"Working","South","White"
1204,59,"Middle","South","White"
1205,30,"Middle","South","White"
1206,40,"Middle","South","White"
1207,35,"Working","South","White"
1209,46,"Working","South","Black"
1211,40,"Working","South","Black"
1212,40,"Working","South","White"
1213,37,"Working","South","White"
1215,40,"Middle","South","White"
1216,25,"Middle","South","Black"
1217,30,"Middle","South","White"
1220,40,"Middle","South","White"
1221,55,"Middle","South","White"
1222,65,"Middle","South","White"
1223,40,"Working","South","Hispanic"
1224,20,"Middle","South","Hispanic"
1225,74,"Middle","South","White"
1227,38,"Working","South","Hispanic"
1228,40,"Middle","South","Hispanic"
1229,40,"Working","South","Hispanic"
1230,45,"Middle","South","Hispanic"
1231,50,"Working","South","Hispanic"
1233,50,"Working","South","Hispanic"
1234,40,"Working","South","Hispanic"
1235,40,"Middle","South","Hispanic"
1236,44,"Working","South","Hispanic"
1238,29,"Middle","South","Hispanic"
1239,44,"Working","South","Hispanic"
1243,45,"Middle","South","Hispanic"
1245,40,"Working","South","Hispanic"
1246,40,"Working","South","Hispanic"
1247,64,"Working","South","Hispanic"
1252,46,"Working","South","White"
1253,45,"Working","South","Black"
1254,40,"Working","South","White"
1255,38,"Working","South","Black"
1259,50,"Working","South","White"
1260,50,"Middle","South","White"
1262,51,"Working","South","White"
1264,25,"Lower","South","Black"
1266,40,"Working","South","White"
1267,60,"Working","South","White"
1268,80,"Working","South","Other"
1269,48,"Working","South","White"
1270,50,"Middle","South","White"
1271,40,"Working","South","White"
1272,40,"Working","South","White"
1273,35,"Working","South","Black"
1274,60,"Working","South","White"
1277,52,"Working","South","White"
1278,36,"Working","South","White"
1280,40,"Working","South","White"
1281,60,"Working","South","White"
1286,40,"Working","West","White"
1289,40,"Working","West","White"
1290,40,"Working","West","White"
1291,45,"Working","West","White"
1294,40,"Working","West","Hispanic"
1296,40,"Working","West","White"
1297,30,"Middle","West","White"
1299,42,"Middle","West","White"
1301,40,"Working","West","White"
1302,60,"Middle","West","White"
1306,40,"Middle","West","White"
1307,24,"Working","West","White"
1308,45,"Working","West","White"
1309,70,"Working","West","White"
1311,65,"Working","West","White"
1312,40,"Working","West","White"
1318,35,"Working","West","White"
1322,64,"Working","West","Hispanic"
1324,40,"Working","West","White"
1325,40,"Working","West","Hispanic"
1326,19,"Working","West","Black"
1328,64,"Working","West","Hispanic"
1329,39,"Working","West","Black"
1331,40,"Working","West","Hispanic"
1332,39,"Middle","West","Hispanic"
1333,32,"Middle","West","Hispanic"
1334,45,"Middle","West","White"
1335,40,"Lower","West","White"
1336,4,"Middle","West","White"
1338,30,"Middle","West","White"
1339,59,"Middle","West","White"
1340,40,"Middle","West","White"
1341,45,"Working","West","White"
1342,40,"Middle","West","White"
1343,50,"Middle","West","White"
1345,45,"Middle","West","White"
1346,42,"Middle","West","White"
1347,50,"Working","West","Black"
1348,67,"Working","West","White"
1350,40,"Working","West","Hispanic"
1353,30,"Working","West","White"
1355,20,"Middle","West","White"
1356,30,"Working","West","White"
1357,40,"Working","West","White"
1358,50,"Working","West","White"
1359,55,"Working","West","White"
1361,8,"Lower","West","Hispanic"
1362,40,"Working","West","White"
1363,40,"Middle","West","White"
1365,38,"Middle","West","White"
1371,36,"Working","West","White"
